"city","name","resType","saleStatus","mainImg","detailUrl","addrExt1","addrExt2","address","area","price","totalprice","spiderUrl","actionUrl","currPage","totalPage","spiderStatus","downStatus","lon","lat"
"xa","当代上品湾ΜΟΜΛ","住宅","在售","https://image1.ljcdn.com/xf-resblock/eb3f72c2-9182-48e9-b2a6-71e3d72cef98.jpg.592x432.jpg","https://xa.fang.lianjia.com/loupan/loupan/p_ddspwafmnh/","高陵","高陵","长庆东路与泾渭八路十字西南角","建面 85-130㎡","7950.0","总价86万/套起","https://xa.fang.lianjia.com/loupan/pg1","location=1&project_name=ddspwafmnh&recommend_log_info=","1",,"0","0","34.448174","109.025418"
"xa","元谷","商业类","在售","https://image1.ljcdn.com/xf-resblock/455329b5-93b4-4a2d-8063-700886ae3228.jpg.592x432.jpg","https://xa.fang.lianjia.com/loupan/loupan/p_ygafrvf/","雁塔","高新","高新西二环与昆明路十字向西500米","建面 36-129㎡","17000.0","总价62万/套起","https://xa.fang.lianjia.com/loupan/pg1","location=2&project_name=ygafrvf&recommend_log_info=","1",,"0","0","34.25166","108.863073"
"xa","太白熙岸","住宅","在售","https://image1.ljcdn.com/xf-resblock/b9be197b-18d8-466f-a2a9-4c9d25eb5ef3.png.592x432.jpg","https://xa.fang.lianjia.com/loupan/loupan/p_tbxaafscv/","眉县","眉县","太白山国际旅游渡假区汤峪二路","建面 53-113㎡","13500.0","总价72万/套起","https://xa.fang.lianjia.com/loupan/pg1","location=3&project_name=tbxaafscv&recommend_log_info=","1",,"0","0","33.953656","107.768085"
"xa","E客公寓·万象汇","商业类","在售","https://image1.ljcdn.com/xf-resblock/4cd61596-d85f-4751-bd02-8e85b5c0fc29.jpg.592x432.jpg","https://xa.fang.lianjia.com/loupan/loupan/p_cwxhafsqm/","雁塔","高新","高新六路与科技一路十字东南角","建面 38-64㎡","26500.0","总价102万/套起","https://xa.fang.lianjia.com/loupan/pg1","location=4&project_name=cwxhafsqm&recommend_log_info=","1",,"0","0","34.228359","108.877138"
"xa","金地南湖艺境","底商","在售","https://image1.ljcdn.com/xf-resblock/c45e538f-4671-4491-89c2-aabdbb73840e.jpg.592x432.jpg","https://xa.fang.lianjia.com/loupan/loupan/p_jdnhyjafsqy/","雁塔","曲江","新开门南路与唐华路交汇处东南角","建面 133-245㎡","16800.0","总价253万/套起","https://xa.fang.lianjia.com/loupan/pg1","location=5&project_name=jdnhyjafsqy&recommend_log_info=","1",,"0","0","34.197179","108.994644"
"xa","万科幸福臻园","住宅","未开盘","https://image1.ljcdn.com/xf-resblock/d14e430f-919e-4ba0-a0d0-c742eda1adb4.jpg.592x432.jpg","https://xa.fang.lianjia.com/loupan/loupan/p_wkxfzyafsrz/","未央","经开","凤城五路与太华路十字向东约500米","建面 101-134㎡","13300.0","总价134万/套起","https://xa.fang.lianjia.com/loupan/pg1","location=6&project_name=wkxfzyafsrz&recommend_log_info=","1",,"0","0","34.361003","108.985309"
"xa","翼中心","住宅","在售","https://image1.ljcdn.com/xf-resblock/8e213a96-02ac-49aa-9939-5cbad670d64d.jpg.592x432.jpg","https://xa.fang.lianjia.com/loupan/loupan/p_yzxaften/","雁塔","城南","电子四路鱼与太白南路交汇处东北角","建面 172㎡","23690.0","总价408万/套起","https://xa.fang.lianjia.com/loupan/pg1","location=7&project_name=yzxaften&recommend_log_info=","1",,"0","0","34.205061","108.901493"
"xa","龙湖双珑原著","别墅","在售","https://image1.ljcdn.com/xf-resblock/c44ad119-0871-44d9-b3d6-5e5e47fa26a8.jpg.592x432.jpg","https://xa.fang.lianjia.com/loupan/loupan/p_lhslyzaftfn/","长安","长安","西沣路（西安电子科技大学北侧）","建面 228-351㎡","24000.0","总价548万/套起","https://xa.fang.lianjia.com/loupan/pg1","location=8&project_name=lhslyzaftfn&recommend_log_info=","1",,"0","0","108.834736","34.125763"
"xa","千林学府广场","住宅","在售","https://image1.ljcdn.com/xf-resblock/3711c2ad-8fb8-4838-8d5c-7d349496963e.JPG.592x432.jpg","https://xa.fang.lianjia.com/loupan/loupan/p_qlxfgcaftjl/","西咸新区（西安）","西咸","统一路86号","建面 124-147㎡","9300.0","总价116万/套起","https://xa.fang.lianjia.com/loupan/pg1","location=9&project_name=qlxfgcaftjl&recommend_log_info=","1",,"0","0","122.117325","37.5065087"
"xa","英郡年华国际社区","住宅","未开盘","https://image1.ljcdn.com/xf-resblock/6a1f391d-c145-4ca9-a69f-a54d63c9eb60.jpg.592x432.jpg","https://xa.fang.lianjia.com/loupan/loupan/p_yjnhaaqmz/","长安","长安","航天大道与神舟六路交汇处向南500米","建面 115㎡","10100.0",,"https://xa.fang.lianjia.com/loupan/pg1","location=10&project_name=yjnhaaqmz&recommend_log_info=","1",,"0","0","34.173136","108.990099"
